Trial	ObservationNumber	Tank	Treatment	UniqueTank	Observer	Individual1	Individual2	FacetofaceYN	AntennaeOnlyYN	StartTime	StartTimeMinutes	StartTimeSeconds	EndTime	EndTimeMinutes	EndTimeSeconds	Duration
1	1	9	6	5	Skylar	B	R	1	0	16:54	16	54	18:26	18	26	92
2	1	4	12	23	Cari	B	RB	0	0	0:00	0	0	6:23	6	23	383
4	1	12	8	42	Cari	B	G	0	0	4:31	4	31	6:12	6	12	101
3	1.1	12	8	31	Cari	B	O	0	0	0:00	0	0	2:16	2	16	136
3	1.2	12	8	31	Cari	G	O	0	0	0:00	0	0	2:16	2	16	136
1	2	9	6	5	Skylar	R	P	0	0	31:50:00	31	50	32:17:00	32	17	27
2	2	4	12	23	Cari	RG	YB	0	0	0:00	0	0	23:51	23	51	1431
3	2	12	8	31	Cari	RG	R	0	0	2:02	2	2	2:15	2	15	13
4	2	12	8	42	Cari	O	Y	0	0	7:19	7	19	13:21	13	21	362
1	3	10	9	8	Skylar	Y	C	0	0	0	0	0	0:42	0	42	42
2	3	4	12	23	Cari	RB	B	0	0	7:07	7	7	18:32	18	32	685
3	3	12	8	31	Cari	B	G	0	0	2:24	2	24	3:19	3	19	55
4	3.1	12	8	42	Cari	O	R	0	0	8:44	8	44	13:21	13	21	277
4	3.2	12	8	42	Cari	R	Y	0	0	8:44	8	44	13:21	13	21	277
3	4	12	8	31	Cari	C	R	0	0	6:16	6	16	10:28	10	28	252
4	4	12	8	42	Cari	RG	P	0	0	13:08	13	8	14:56	14	56	108
1	4.1	10	9	8	Skylar	Y	R	0	0	0:24	0	24	0:50	0	50	26
2	4.1	4	12	23	Cari	RB	P	0	0	3:45	3	45	4:15	4	15	30
1	4.2	10	9	8	Skylar	R	C	0	0	0:24	0	24	0:50	0	50	26
2	4.2	4	12	23	Cari	P	B	0	0	3:45	3	45	4:15	4	15	30
1	5	10	9	8	Skylar	B	RG	0	0	1:32	1	32	2:14	2	14	42
2	5	4	12	23	Cari	P	B	0	0	4:46	4	46	9:00	9	0	254
4	5	12	8	42	Cari	G	C	0	0	16:19	16	19	16:20	16	20	1
3	5.1	12	8	31	Cari	RG	R	0	1	6:44	6	44	6:45	6	45	1
3	5.2	12	8	31	Cari	RG	C	0	1	6:44	6	44	6:45	6	45	1
1	6	10	9	8	Skylar	B	RG	0	0	2:28	2	28	3:13	3	13	45
2	6	4	12	23	Cari	G	RG	1	0	6:44	6	44	19:30	19	30	766
3	6	12	8	31	Cari	B	RG	0	0	9:34	9	34	9:44	9	44	10
4	6	12	8	42	Cari	RG	P	0	0	20:38	20	38	21:57	21	57	79
1	7	10	9	8	Skylar	G	O	1	0	10:12	10	12	12:35	12	35	143
3	7	12	8	31	Cari	RG	G	0	0	10:22	10	22	10:52	10	52	30
4	7	12	8	42	Cari	RG	P	0	0	24:01:00	24	1	26:07:00	26	7	126
1	8	10	9	8	Skylar	R	O	1	0	12:45	12	45	13:25	13	25	40
3	8	12	8	31	Cari	B	G	0	1	12:02	12	2	12:03	12	3	1
4	8	12	8	42	Cari	Y	C	0	1	24:37:00	24	37	24:38:00	24	38	1
2	8.1	4	12	23	Cari	RG	YB	0	0	11:41	11	41	19:30	19	30	469
2	8.2	4	12	23	Cari	YB	G	0	0	11:41	11	41	19:30	19	30	469
1	9	10	9	8	Skylar	G	O	1	0	14:04	14	4	14:40	14	40	36
3	9	12	8	31	Cari	B	O	0	0	12:41	12	41	13:36	13	36	55
4	9	12	8	42	Cari	Y	C	1	0	25:01:00	25	1	25:20:00	25	20	19
2	9.1	4	12	23	Cari	RG	YB	0	0	18:37	18	37	22:28	22	28	231
2	9.2	4	12	23	Cari	YB	G	0	0	18:37	18	37	22:28	22	28	231
1	10	10	9	8	Skylar	Y	RG	0	0	14:40	14	40	15:06	15	6	26
2	10	4	12	23	Cari	R	RB	1	0	35:19:00	35	19	35:58:00	35	58	39
3	10	12	8	31	Cari	P	Y	0	0	14:03	14	3	14:10	14	10	7
4	10	12	8	42	Cari	B	G	0	0	27:38:00	27	38	28:26:00	28	26	48
2	11	4	12	23	Cari	O	Y	1	0	38:24:00	38	24	38:58:00	38	58	34
3	11	12	8	31	Cari	B	P	1	0	26:47:00	26	47	28:27:00	28	27	100
4	11	12	8	42	Cari	C	P	1	0	27:48:00	27	48	31:02:00	31	2	194
1	11.1	10	9	8	Skylar	Y	C	1	0	15:05	15	5	17:13	17	13	128
1	11.2	10	9	8	Skylar	C	RG	1	0	15:05	15	5	17:13	17	13	128
1	12	10	9	8	Skylar	C	Y	0	0	20:57	20	57	23:46	23	46	169
2	12	4	12	23	Cari	G	YB	0	0	38:41:00	38	41	45:00:00	45	0	379
3	12	12	8	31	Cari	P	Y	0	0	28:22:00	28	22	28:46:00	28	46	24
4	12	12	8	42	Cari	B	RG	0	0	29:31:00	29	31	29:40:00	29	40	9
1	13	10	9	8	Skylar	RG	O	0	0	32:39:00	32	39	33:29:00	33	29	50
2	13	4	12	23	Cari	O	Y	0	0	38:58:00	38	58	45:00:00	45	0	362
3	13	12	8	31	Cari	RG	O	0	0	30:12:00	30	12	31:11:00	31	11	59
4	13	12	8	42	Cari	Y	G	0	0	30:35:00	30	35	30:50:00	30	50	15
1	14	10	9	8	Skylar	C	RG	0	1	34:35:00	34	35	34:36:00	34	36	1
3	14	12	8	31	Cari	RG	G	0	0	31:35:00	31	35	32:28:00	32	28	53
4	14	12	8	42	Cari	C	Y	0	0	31:07:00	31	7	31:37:00	31	37	30
2	14.1	4	12	23	Cari	RG	G	0	1	44:47:00	44	47	45:00:00	45	0	13
2	14.2	4	12	23	Cari	RG	YB	0	1	44:47:00	44	47	45:00:00	45	0	13
1	15	10	9	8	Skylar	C	Y	0	0	43:38:00	43	38	45:00:00	45	0	82
2	15	9	6	17	Skylar	O	Y	1	0	1:03	1	3	1:51	1	51	48
3	15	12	8	31	Cari	P	C	0	0	34:05:00	34	5	35:26:00	35	26	81
4	15	12	8	42	Cari	O	B	0	0	31:14:00	31	14	33:20:00	33	20	126
1	16	5	4	3	Skylar	O	G	0	0	2:59	2	59	3:35	3	35	36
2	16	9	6	17	Skylar	G	O	0	0	3:10	3	10	16:49	16	49	819
3	16	12	8	31	Cari	RG	P	1	0	36:29:00	36	29	37:52:00	37	52	83
4	16	12	8	42	Cari	Y	P	0	0	31:44:00	31	44	31:55:00	31	55	11
1	17	5	4	3	Skylar	R	G	0	0	14:10	14	10	15:00	15	0	50
2	17	9	6	17	Skylar	Y	G	1	0	13:48	13	48	19:01	19	1	313
3	17	12	8	31	Cari	Y	G	0	0	39:28:00	39	28	39:55:00	39	55	27
4	17	12	8	42	Cari	R	B	0	0	33:46:00	33	46	37:19:00	37	19	213
1	18	5	4	3	Skylar	R	G	0	0	17:30	17	30	19:30	19	30	120
3	18	12	8	31	Cari	R	G	0	0	43:05:00	43	5	45:00:00	45	0	115
4	18	12	8	42	Cari	Y	RB	0	0	33:54:00	33	54	34:20:00	34	20	26
2	18.1	9	6	17	Skylar	Y	O	1	0	15:33	15	33	18:00	18	0	147
2	18.2	9	6	17	Skylar	O	G	1	0	15:33	15	33	18:00	18	0	147
1	19	5	4	3	Skylar	R	G	0	0	24:06:00	24	6	25:11:00	25	11	65
3	19	11	7	30	Cari	R	B	0	0	41:13:00	41	13	45:00:00	45	0	227
4	19	12	8	42	Cari	R	Y	0	0	37:19:00	37	19	38:20:00	38	20	61
2	19.1	9	6	17	Skylar	Y	O	0	0	18:42	18	42	23:39	23	39	297
2	19.2	9	6	17	Skylar	O	G	0	0	18:42	18	42	23:39	23	39	297
1	20	6	11	10	Skylar	R	YG	0	0	0:00	0	0	0:20	0	20	20
3	20	11	7	30	Cari	G	P	0	0	44:55:00	44	55	45:00:00	45	0	5
4	20	12	8	42	Cari	Y	O	0	0	39:40:00	39	40	42:17:00	42	17	157
2	20.1	9	6	17	Skylar	G	Y	1	0	21:35	21	35	24:00:00	24	0	145
2	20.2	9	6	17	Skylar	G	O	1	0	21:35	21	35	24:00:00	24	0	145
1	21	6	11	10	Skylar	Y	B	1	0	6:02	6	2	12:51	12	51	409
2	21	9	6	17	Skylar	O	Y	0	0	24:00:00	24	0	24:15:00	24	15	15
3	21	8	10	33	Cari	R	RG	0	0	7:21	7	21	8:12	8	12	51
4	21	12	8	42	Cari	C	P	0	0	40:04:00	40	4	44:16:00	44	16	252
1	22	6	11	10	Skylar	R	YG	0	0	6:55	6	55	10:48	10	48	233
2	22	9	6	17	Skylar	G	O	0	0	25:06:00	25	6	25:20:00	25	20	14
3	22	8	10	33	Cari	O	RG	0	1	21:46	21	46	21:47	21	47	1
4	22.1	12	8	42	Cari	RG	P	1	0	42:05:00	42	5	42:47:00	42	47	42
4	22.2	12	8	42	Cari	RG	C	1	0	42:05:00	42	5	42:47:00	42	47	42
1	23	6	11	10	Skylar	R	G	0	0	11:12	11	12	13:06	13	6	114
2	23	9	6	17	Skylar	Y	O	0	0	26:16:00	26	16	27:11:00	27	11	55
3	23	8	10	33	Cari	O	RG	0	0	22:42	22	42	25:08:00	25	8	146
4	23.1	12	8	42	Cari	RG	P	1	0	43:09:00	43	9	43:36:00	43	36	27
4	23.2	12	8	42	Cari	RG	C	1	0	43:09:00	43	9	43:36:00	43	36	27
1	24	6	11	10	Skylar	C	PG	0	0	16:51	16	51	17:22	17	22	31
2	24	9	6	17	Skylar	Y	P	0	0	31:46:00	31	46	34:24:00	34	24	158
3	24	8	10	33	Cari	C	P	0	0	26:17:00	26	17	28:26:00	28	26	129
4	24	11	7	41	Cari	O	C	0	0	0:00	0	0	12:15	12	15	735
1	25	6	11	10	Skylar	R	YG	0	0	19:05	19	5	19:53	19	53	48
2	25	9	6	17	Skylar	G	Y	0	0	34:30:00	34	30	39:00:00	39	0	270
3	25	7	5	28	Cari	R	B	0	0	0:00	0	0	0:56	0	56	56
4	25.1	11	7	41	Cari	O	Y	0	0	0:00	0	0	4:15	4	15	255
4	25.2	11	7	41	Cari	C	Y	0	0	0:00	0	0	4:15	4	15	255
